library,P1L1,P2L1,P1H1,P2H1,P3L1,P3H1,P1L2,P2L2,P1H2,P2H2,P3L2,P3H2
OG0029980:,73,67,222.32,74.99,63,241.19,1416.12,1374.98,502.9,1421.2,970.1,1032.69
OG0029981:,15,4,31,10.43,10,29,238.87,148,58.11,220.9,138.43,99.33
OG0029982:,436,1327.89,1736,745.53,1989.99,3825.96,3206.89,2589.59,788.11,2989.27,1425.93,4413.72
OG0029983:,7,49.43,55.08,26,53.09,50.43,217.85,206.52,67,180.07,131.43,245.88
OG0029984:,180.12,615.67,539.2,385.51,398.33,401.57,793.97,742.85,405.26,782.24,507.81,938.23
OG0029985:,88.04,43.8,115.81,87.74,44.1,130.87,210.09,145.05,231.07,321.56,181.57,183.99
OG0029986:,108.77,86.07,117.03,176.83,139.97,192.79,634.24,515.35,903.64,623.56,359.28,328.73
OG0029987:,261.53,829.93,444.96,990.16,509.03,697.21,343.75,301.99,493.35,373.11,243.72,330.27
OG0029988:,0,4,0,2,34.78,11,0,457.77,0,4,1,0
OG0029989:,32,31,75.13,48,36,146,379.85,113,281,416.69,252.28,197
OG0029990:,100.59,222.85,249.91,145.47,169.68,272.41,984.31,891.14,305.99,861.75,810.26,624.04
OG0029991:,0,2,0,8,24,101,0,441.62,0,1,1,6
OG0029992:,30.12,54,121.71,54.99,102,160.65,496.58,658,257.68,707.05,633.99,544.03
OG0029993:,0,1,6,6.91,66,192.77,9,1238.04,5.72,6.05,1,4
OG0029994:,5,0,23,0,0,0,943.13,0,2.99,0,0,0
OG0029995:,385.82,578.66,640.63,409.12,579.84,453.05,885.29,1255.41,374.1,1275.14,511.66,928.76
OG0029996:,389.7,562.53,622.64,371.22,551.67,395.14,623.82,928.38,228.53,876.42,376.41,557.51
OG0029997:,1.01,4.04,14.44,1.39,7.81,7.67,92.69,237.08,105.04,215.39,75.38,109.08
OG0029998:,0,7.19,13.69,2.63,4.64,28.83,139.37,280.93,116.42,314.7,96.35,123.86
